"cg","metric","con","spearman","p.value"
"sct-umls","LCH","UMNSRS_similarity",0.228830952777586,3.68670565777362e-08
"sct-umls","INTRINSIC_LCH","UMNSRS_similarity",0.36495393683216,2.84027803286255e-19
"sct-umls","INTRINSIC_LIN","UMNSRS_similarity",0.222262641610479,9.13800558050566e-08
"sct-umls","PATH","UMNSRS_similarity",0.228830952777586,3.68670565777362e-08
"sct-umls","INTRINSIC_PATH","UMNSRS_similarity",0.226825510623898,4.87837805032805e-08
"sct-umls","RADA","UMNSRS_similarity",0.228830952777586,3.68670565777362e-08
"sct-umls","INTRINSIC_RADA","UMNSRS_similarity",0.226829036965752,4.87598717494355e-08
"sct-umls","JACCARD","UMNSRS_similarity",0.222263917203217,9.13641937369251e-08
"sct-umls","SOKAL","UMNSRS_similarity",0.222236099012698,9.17107184564172e-08
"sct-umls","WUPALMER","UMNSRS_similarity",0.208505036740886,5.59684080365814e-07
"sct-umls","LCH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_LCH","UMNSRS_relatedness",0.299035853140697,1.36592197415081e-13
"sct-umls","INTRINSIC_LIN","UMNSRS_relatedness",0.157250227677192,0.000130466575293448
"sct-umls","PATH","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_PATH","UMNSRS_relatedness",0.163356894326190,7.0046576115824e-05
"sct-umls","RADA","UMNSRS_relatedness",0.166810699203099,4.87838363243197e-05
"sct-umls","INTRINSIC_RADA","UMNSRS_relatedness",0.163353099631977,7.007414371434e-05
"sct-umls","JACCARD","UMNSRS_relatedness",0.157246720131757,0.000130512348635312
"sct-umls","SOKAL","UMNSRS_relatedness",0.157263777899752,0.000130289887080416
"sct-umls","WUPALMER","UMNSRS_relatedness",0.139098347637156,0.000726589004807295
"sct-umls","LCH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_LCH","MayoSRS",0.297289453118182,0.00253523286928782
"sct-umls","INTRINSIC_LIN","MayoSRS",0.0935628350561178,0.352042790828291
"sct-umls","PATH","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_PATH","MayoSRS",0.124072455183113,0.216393566106728
"sct-umls","RADA","MayoSRS",0.0348414654535019,0.729418621116358
"sct-umls","INTRINSIC_RADA","MayoSRS",0.124072455183113,0.216393566106728
"sct-umls","JACCARD","MayoSRS",0.0935628350561178,0.352042790828291
"sct-umls","SOKAL","MayoSRS",0.0935628350561178,0.352042790828291
"sct-umls","WUPALMER","MayoSRS",0.0476049976004017,0.636400546198952
"sct-umls","LCH","MiniMayoSRS_Physicians",0.370737911666762,0.047719150401276
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.338839220796711,0.072168021484666
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.405155611868445,0.0292331804567376
"sct-umls","PATH","MiniMayoSRS_Physicians",0.370737911666762,0.047719150401276
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.338839220796711,0.072168021484666
"sct-umls","RADA","MiniMayoSRS_Physicians",0.370737911666762,0.047719150401276
"sct-umls","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.338839220796711,0.072168021484666
"sct-umls","JACCARD","MiniMayoSRS_Physicians",0.405155611868445,0.0292331804567376
"sct-umls","SOKAL","MiniMayoSRS_Physicians",0.405155611868445,0.0292331804567376
"sct-umls","WUPALMER","MiniMayoSRS_Physicians",0.439660562255792,0.017010702345156
"sct-umls","LCH","MiniMayoSRS_Coders",0.5399528501315,0.00250021378218839
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Coders",0.488106525205692,0.00722597986599431
"sct-umls","PATH","MiniMayoSRS_Coders",0.5399528501315,0.00250021378218839
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","RADA","MiniMayoSRS_Coders",0.5399528501315,0.00250021378218839
"sct-umls","INTRINSIC_RADA","MiniMayoSRS_Coders",0.449089010485703,0.014533004749244
"sct-umls","JACCARD","MiniMayoSRS_Coders",0.488106525205692,0.00722597986599431
"sct-umls","SOKAL","MiniMayoSRS_Coders",0.488106525205692,0.00722597986599431
"sct-umls","WUPALMER","MiniMayoSRS_Coders",0.552937833002984,0.00186553965967924
"sct-umls","LCH","MiniMayoSRS_Combined",0.432532959714154,0.0191073411956774
"sct-umls","INTRINSIC_LCH","MiniMayoSRS_Combined",0.376113287914041,0.0443402591204295
"sct-umls","INTRINSIC_LIN","MiniMayoSRS_Combined",0.445607067601469,0.0154105398825405
"sct-umls","PATH","MiniMayoSRS_Combined",0.432532959714154,0.0191073411956774
"sct-umls","INTRINSIC_PATH","MiniMayoSRS_Combined",0.376113287914041,0.0443402591204295
"sct-umls","RADA","MiniMayoSRS_Combined",0.432532959714154,0.0191073411956774
"sct-umls","INTRINSIC_RADA","MiniMayoSRS_Combined",0.376113287914041,0.0443402591204295
"sct-umls","JACCARD","MiniMayoSRS_Combined",0.445607067601469,0.0154105398825405
"sct-umls","SOKAL","MiniMayoSRS_Combined",0.445607067601469,0.0154105398825405
"sct-umls","WUPALMER","MiniMayoSRS_Combined",0.486867372906509,0.00739726043118254
"msh-umls","LCH","UMNSRS_similarity",0.282249399835581,7.93986138799239e-12
"msh-umls","INTRINSIC_LCH","UMNSRS_similarity",0.27545331087427,2.58996993067745e-11
"msh-umls","INTRINSIC_LIN","UMNSRS_similarity",0.287231119184221,3.26895448590639e-12
"msh-umls","PATH","UMNSRS_similarity",0.282249399835581,7.93986138799239e-12
"msh-umls","INTRINSIC_PATH","UMNSRS_similarity",0.284188635553175,5.63244950167975e-12
"msh-umls","RADA","UMNSRS_similarity",0.282249399835581,7.93986138799239e-12
"msh-umls","INTRINSIC_RADA","UMNSRS_similarity",0.284188635553175,5.63244950167975e-12
"msh-umls","JACCARD","UMNSRS_similarity",0.287227956893226,3.27081480749965e-12
"msh-umls","SOKAL","UMNSRS_similarity",0.287227956893226,3.27081480749965e-12
"msh-umls","WUPALMER","UMNSRS_similarity",0.286817523858156,3.52126130648064e-12
"msh-umls","LCH","UMNSRS_relatedness",0.167340255586546,4.61220021045766e-05
"msh-umls","INTRINSIC_LCH","UMNSRS_relatedness",0.246763891027119,1.36266302765674e-09
"msh-umls","INTRINSIC_LIN","UMNSRS_relatedness",0.205032773844763,5.43490000435498e-07
"msh-umls","PATH","UMNSRS_relatedness",0.167340255586546,4.61220021045766e-05
"msh-umls","INTRINSIC_PATH","UMNSRS_relatedness",0.201527506768814,8.53089651189281e-07
"msh-umls","RADA","UMNSRS_relatedness",0.167340255586546,4.61220021045766e-05
"msh-umls","INTRINSIC_RADA","UMNSRS_relatedness",0.201527506768814,8.53089651189281e-07
"msh-umls","JACCARD","UMNSRS_relatedness",0.205032773844763,5.43490000435498e-07
"msh-umls","SOKAL","UMNSRS_relatedness",0.205032773844763,5.43490000435498e-07
"msh-umls","WUPALMER","UMNSRS_relatedness",0.176200405231312,1.75850606446405e-05
"msh-umls","LCH","MayoSRS",0.139023639395686,0.165587415148528
"msh-umls","INTRINSIC_LCH","MayoSRS",0.231734080057135,0.0197140704245777
"msh-umls","INTRINSIC_LIN","MayoSRS",0.133743609566676,0.182408743084253
"msh-umls","PATH","MayoSRS",0.139023639395686,0.165587415148528
"msh-umls","INTRINSIC_PATH","MayoSRS",0.133846657126621,0.182068940806553
"msh-umls","RADA","MayoSRS",0.139023639395686,0.165587415148528
"msh-umls","INTRINSIC_RADA","MayoSRS",0.133846657126621,0.182068940806553
"msh-umls","JACCARD","MayoSRS",0.133743609566676,0.182408743084253
"msh-umls","SOKAL","MayoSRS",0.133743609566676,0.182408743084253
"msh-umls","WUPALMER","MayoSRS",0.122201531170858,0.2234550717249
"msh-umls","LCH","MiniMayoSRS_Physicians",0.253989238205862,0.183671646545251
"msh-umls","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.439923679532053,0.0169371047332162
"msh-umls","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.265038911537921,0.164683258634083
"msh-umls","PATH","MiniMayoSRS_Physicians",0.253989238205862,0.183671646545251
"msh-umls","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.261179121564068,0.171150534830140
"msh-umls","RADA","MiniMayoSRS_Physicians",0.253989238205862,0.183671646545251
"msh-umls","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.261179121564068,0.171150534830140
"msh-umls","JACCARD","MiniMayoSRS_Physicians",0.265038911537921,0.164683258634083
"msh-umls","SOKAL","MiniMayoSRS_Physicians",0.265038911537921,0.164683258634083
"msh-umls","WUPALMER","MiniMayoSRS_Physicians",0.259133318855691,0.174650163005662
"msh-umls","LCH","MiniMayoSRS_Coders",0.295535536176581,0.119588702809994
"msh-umls","INTRINSIC_LCH","MiniMayoSRS_Coders",0.599105191104612,0.000594690725254625
"msh-umls","INTRINSIC_LIN","MiniMayoSRS_Coders",0.328396508414681,0.0819844538323688
"msh-umls","PATH","MiniMayoSRS_Coders",0.295535536176581,0.119588702809994
"msh-umls","INTRINSIC_PATH","MiniMayoSRS_Coders",0.320160026407517,0.0904224825354178
"msh-umls","RADA","MiniMayoSRS_Coders",0.295535536176581,0.119588702809994
"msh-umls","INTRINSIC_RADA","MiniMayoSRS_Coders",0.320160026407517,0.0904224825354178
"msh-umls","JACCARD","MiniMayoSRS_Coders",0.328396508414681,0.0819844538323688
"msh-umls","SOKAL","MiniMayoSRS_Coders",0.328396508414681,0.0819844538323688
"msh-umls","WUPALMER","MiniMayoSRS_Coders",0.30214210707247,0.111159840227081
"msh-umls","LCH","MiniMayoSRS_Combined",0.2547277856259,0.182356794218677
"msh-umls","INTRINSIC_LCH","MiniMayoSRS_Combined",0.508002618718613,0.00490197329964509
"msh-umls","INTRINSIC_LIN","MiniMayoSRS_Combined",0.270972240422824,0.155083172702257
"msh-umls","PATH","MiniMayoSRS_Combined",0.2547277856259,0.182356794218677
"msh-umls","INTRINSIC_PATH","MiniMayoSRS_Combined",0.268154948698201,0.159590275132261
"msh-umls","RADA","MiniMayoSRS_Combined",0.2547277856259,0.182356794218677
"msh-umls","INTRINSIC_RADA","MiniMayoSRS_Combined",0.268154948698201,0.159590275132261
"msh-umls","JACCARD","MiniMayoSRS_Combined",0.270972240422824,0.155083172702257
"msh-umls","SOKAL","MiniMayoSRS_Combined",0.270972240422824,0.155083172702257
"msh-umls","WUPALMER","MiniMayoSRS_Combined",0.260230405624325,0.172767234615153
"sct-msh-csp-aod","LCH","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_similarity",0.384573297269723,2.16590776001016e-21
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_similarity",0.333630624753490,3.50415895023261e-16
"sct-msh-csp-aod","PATH","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_similarity",0.336849405433756,1.74888785345579e-16
"sct-msh-csp-aod","RADA","UMNSRS_similarity",0.324391506370911,2.46252923723597e-15
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_similarity",0.336856442844326,1.74621687413376e-16
"sct-msh-csp-aod","JACCARD","UMNSRS_similarity",0.333630624753490,3.50415895023261e-16
"sct-msh-csp-aod","SOKAL","UMNSRS_similarity",0.333622031130949,3.51062848147458e-16
"sct-msh-csp-aod","WUPALMER","UMNSRS_similarity",0.329033268581624,9.32289824732618e-16
"sct-msh-csp-aod","LCH","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_LCH","UMNSRS_relatedness",0.330801616543601,1.8652287005323e-16
"sct-msh-csp-aod","INTRINSIC_LIN","UMNSRS_relatedness",0.247881379794896,1.14216979895519e-09
"sct-msh-csp-aod","PATH","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_PATH","UMNSRS_relatedness",0.257643781170382,2.35523257367305e-10
"sct-msh-csp-aod","RADA","UMNSRS_relatedness",0.221655446615250,5.74754664638732e-08
"sct-msh-csp-aod","INTRINSIC_RADA","UMNSRS_relatedness",0.257655627704754,2.35062932411398e-10
"sct-msh-csp-aod","JACCARD","UMNSRS_relatedness",0.247881379794896,1.14216979895519e-09
"sct-msh-csp-aod","SOKAL","UMNSRS_relatedness",0.24787543004345,1.14324630559902e-09
"sct-msh-csp-aod","WUPALMER","UMNSRS_relatedness",0.241429285774536,3.1274583706892e-09
"sct-msh-csp-aod","LCH","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_LCH","MayoSRS",0.395378811792960,4.27511617879145e-05
"sct-msh-csp-aod","INTRINSIC_LIN","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","PATH","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_PATH","MayoSRS",0.376736639513781,0.000103126744376363
"sct-msh-csp-aod","RADA","MayoSRS",0.346627724322577,0.000383830062957477
"sct-msh-csp-aod","INTRINSIC_RADA","MayoSRS",0.376736639513781,0.000103126744376363
"sct-msh-csp-aod","JACCARD","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","SOKAL","MayoSRS",0.364614085397014,0.00017780969459509
"sct-msh-csp-aod","WUPALMER","MayoSRS",0.379508224051286,9.07738618368624e-05
"sct-msh-csp-aod","LCH","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.602853532421918,0.000537828503894719
"sct-msh-csp-aod","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","PATH","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.603178070542518,0.000533137605340642
"sct-msh-csp-aod","RADA","MiniMayoSRS_Physicians",0.569780417784508,0.00125325734946175
"sct-msh-csp-aod","INTRINSIC_RADA","MiniMayoSRS_Physicians",0.603178070542518,0.000533137605340642
"sct-msh-csp-aod","JACCARD","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","SOKAL","MiniMayoSRS_Physicians",0.596670755258657,0.000634383965439552
"sct-msh-csp-aod","WUPALMER","MiniMayoSRS_Physicians",0.618075188493114,0.000352942351200178
"sct-msh-csp-aod","LCH","MiniMayoSRS_Coders",0.642818205129702,0.000169572188925176
"sct-msh-csp-aod","INTRINSIC_LCH","MiniMayoSRS_Coders",0.683194098805638,4.42023885546286e-05
